,name,language,normalizedGenre,yearNormalized,size,averageClustering,density,averagePathLength,averageDegree,diameter,datePremiered,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numOfPersonGroups,numConnectedComponents,numEdges,numOfSegments,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL,avg_betweenness,avg_closeness,avg_eigenvector
120,shirley-the-court-secret,ENG,Tragicomedy,1642,18,0.9238247863247864,0.8888888888888888,1.1111111111111112,15.11111111111111,2,0,17,18,4,14,0,0,1,136,5,5,20110,19231,399,1,2607,0.006944444444444444,0.9115043501008413,0.23411840280957869
121,shirley-the-example,ENG,Comedy,1634,20,0.9259206840630992,0.8736842105263158,1.1263157894736842,16.6,2,0,19,20,5,13,1,1,1,166,6,5,19600,18811,415,14,2436,0.007017543859649122,0.8999927536231884,0.2212369857812371
122,shirley-the-martyred-soldier,ENG,Tragedy,1618,28,0.873160099214173,0.6931216931216931,1.306878306878307,18.714285714285715,2,0,27,28,2,24,3,3,1,262,5,5,18578,17265,415,361,1753,0.011803011803011807,0.7896572692180133,0.1838102948648267
123,stranitzky-tuerckisch-bestraffter-hochmuth,GER,0,1685,26,0.7648780706473013,0.3076923076923077,1.9723076923076923,7.6923076923076925,4,0,16,26,4,21,1,1,1,100,33,3,19125,17945,1972,328,200,0.04051282051282052,0.5254622102649137,0.161560793443013
124,subligny-folle-querelle,FRE,Comedy,1668,9,0.7248677248677248,0.6666666666666666,1.3611111111111112,5.333333333333333,3,1668-05-25,7,9,4,5,0,0,1,24,32,2,17323,13825,121,606,49,0.051587301587301584,0.7542087542087542,0.3233528587448437
125,suenos-hay-que-verdad-son,ESP,0,1670,27,0.9772079772079773,0.886039886039886,1.113960113960114,23.03703703703704,2,0,26,27,5,22,0,0,1,311,6,1,11591,11122,570,0,2290,0.00455840455840456,0.9148838279273062,0.18807146301351854
126,taille-corrivaus,FRE,Comedy,1562,15,0.5697354497354498,0.419047619047619,1.6857142857142855,5.866666666666666,3,0,9,15,4,11,0,0,1,44,25,5,14628,13068,105,445,0,0.05274725274725275,0.6050200960125998,0.226501431177983
127,tasso-aminta,ITA,0,1573,10,0.5747619047619048,0.3333333333333333,1.4642857142857142,3.0,2,0,7,10,3,6,1,1,3,15,11,5,14066,13965,30,0,2091,0.03611111111111111,0.44013791763791765,0.2679276549228536
128,tasso-intrichi-d-amore,ITA,Comedy,1598,15,0.8927132127132127,0.8571428571428571,1.1428571428571428,12.0,2,0,14,15,6,9,0,0,1,90,63,5,49229,48964,15,1861,0,0.010989010989010988,0.8848033482398807,0.25624507968151927
129,testi-isola-alcina,ITA,Tragedy,1648,15,0.7835786435786436,0.2857142857142857,1.8021978021978025,4.0,3,0,11,15,6,9,0,3,2,30,18,5,7555,7431,52,0,1262,0.05347985347985348,0.4953635304617652,0.22899835356364726
130,tomkis-lingua,ENG,Comedy,1657,21,0.8478655515696646,0.6238095238095238,1.380952380952381,12.476190476190476,3,0,19,21,0,1,20,0,1,131,51,5,29578,27120,1645,801,1158,0.020050125313283207,0.7425233319977192,0.20746098892863574
131,torelli-la-merope,ITA,Tragedy,1589,8,0.9404761904761904,0.9285714285714286,1.0714285714285714,6.5,2,0,7,8,3,5,0,1,1,26,8,1,19171,18597,10,0,2699,0.011904761904761906,0.9409722222222222,0.3522552353359203
132,tortoletti-gionata,ITA,Tragedy,1624,15,0.6771476671476672,0.3619047619047619,1.6483516483516485,5.066666666666666,3,0,11,15,1,12,2,5,2,38,16,6,17067,16953,40,0,2524,0.04322344322344322,0.5446605426847779,0.22160897972476254
133,tristan-parasite,FRE,Comedy,1654,10,0.9123015873015874,0.7777777777777778,1.2222222222222223,7.0,2,0,9,10,5,5,0,0,1,35,31,5,18656,16874,23,0,1949,0.027777777777777776,0.8409353146853147,0.30639769017917107
134,turnebe-contents,FRE,Comedy,1584,16,0.6109494671994672,0.4583333333333333,1.5666666666666669,6.875,3,0,13,16,5,11,0,1,1,55,35,1,31423,29883,0,777,0,0.04047619047619048,0.6515248988225276,0.23280315329210263
135,urfe-sylvanire,FRE,0,1617,14,0.8199855699855699,0.5604395604395604,1.3461538461538465,7.285714285714286,2,1617-01-16,11,14,5,8,1,1,2,51,51,5,50687,50352,5,0,9537,0.024725274725274724,0.6549365954020123,0.24223172250753794
136,vega-duquesa-de-rosa,ESP,Comedy,1566,26,0.8883548995761271,0.3107692307692307,1.7138461538461538,7.769230769230769,3,0,23,26,1,20,5,2,1,101,10,1,9107,8551,411,558,50,0.029743589743589743,0.5975115401134263,0.17047781126470563
137,vega-seraphina,ESP,Tragedy,1566,14,0.8247010925582353,0.5164835164835165,1.4835164835164836,6.714285714285714,2,0,12,14,3,10,1,2,1,47,8,1,8341,7901,148,486,26,0.04029304029304029,0.693603488652933,0.25136222894179583
138,velez-serrana-vera,ESP,Tragedy,1613,39,0.9227249712818476,0.7597840755735492,1.2402159244264508,28.871794871794872,2,0,38,39,5,30,4,4,1,563,3,3,18926,17702,1224,0,3576,0.006492322281795966,0.8272521074887179,0.15531210721252894
139,viau-pasiphae,FRE,Tragedy,1627,22,0.8862970511366233,0.341991341991342,1.7792207792207793,7.181818181818182,3,0,17,22,6,15,1,3,1,79,5,5,13505,12924,0,0,1476,0.03896103896103895,0.5768523324801497,0.18715949814122598
140,viau-pyrame,FRE,Tragedy,1617,12,0.2916666666666667,0.1666666666666666,2.0,1.8333333333333333,4,0,4,12,4,8,0,0,3,11,12,5,12285,12188,0,0,1261,0.045454545454545456,0.24440360775588046,0.21300360530653814
141,virey-machabee,FRE,Tragedy,1596,18,1.0,1.0,1.0,17.0,1,0,17,18,2,16,0,0,1,153,1,1,12545,12316,210,0,1438,0.0,1.0,0.23570226039551587
142,virues-la-gran-semiramis,ESP,Tragedy,1579,15,0.8938542938542938,0.7523809523809524,1.2476190476190476,10.533333333333331,2,0,14,15,1,13,1,1,1,79,3,3,15125,14596,462,0,2341,0.01904761904761905,0.817037037037037,0.2538788611795609
143,weise-baeurischer-machiavellus,GER,Comedy,1679,48,0.8863744862297831,0.3138297872340425,1.4565217391304348,14.75,3,0,23,48,6,42,0,0,2,354,34,6,26996,26199,833,523,631,0.004856614246068455,0.3540614934953,0.0984230029332644
144,weise-masaniello,GER,Tragedy,1682,75,0.713138768728755,0.1733333333333333,1.9338022341745968,12.826666666666666,3,1682-02-11,52,75,11,63,1,4,4,481,99,5,40160,38084,1903,1647,68,0.011141552511415525,0.4584347239246533,0.08739998228738324
145,weise-ungleich-liebesalliance,GER,Comedy,1708,51,0.7074995742291634,0.2823529411764706,2.069019607843137,14.117647058823527,4,0,26,51,13,38,0,0,1,360,90,5,47637,46801,968,1723,36,0.02181672669067627,0.49687445962082183,0.11305030425181826
