,name,language,normalizedGenre,yearNormalized,size,averageClustering,density,averagePathLength,averageDegree,diameter,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,numEdges,numOfSegments,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL,all-in_index,final_scene_size,drama_change_rate,protagonism,mediateness
26,corneillep-rodogune,FRE,Tragedy,1644.0,7.0,0.8476190476190476,0.7619047619047619,1.238095238095238,4.571428571428571,2.0,6.0,7.0,3.0,4.0,0.0,0.0,1.0,16.0,26.0,5.0,19574.0,17071.0,115.0,0.0,1889.0,0.4230769230769231,0.7142857142857143,0.5766666666666667,0.013426893602524331,0.34893157889942655
27,corneillet-mort-d-achille,FRE,Tragedy,1673.0,8.0,0.6125,0.4642857142857143,1.6428571428571428,3.25,3.0,6.0,8.0,4.0,4.0,0.0,0.0,1.0,13.0,25.0,5.0,16306.0,16103.0,9.0,0.0,1781.0,0.76,0.375,0.6145833333333334,0.00625126009793525,0.6595267910439645
28,cruz-empenos-casa,ESP,Comedy,1683.0,18.0,0.9477124183006538,0.8954248366013072,1.1045751633986929,15.22222222222222,2.0,17.0,18.0,2.0,8.0,8.0,0.0,1.0,137.0,3.0,3.0,18334.0,17951.0,443.0,0.0,3498.0,0.6666666666666666,0.5,0.542483660130719,0.00625126009793525,0.6595267910439645
29,dalibray-soliman,FRE,Tragicomedy,1637.0,16.0,0.8188148656898656,0.55,1.45,8.25,2.0,13.0,16.0,3.0,9.0,4.0,0.0,1.0,66.0,31.0,5.0,24694.0,15313.0,0.0,0.0,1749.0,1.0,0.5,0.6842592592592595,0.024566541830022416,0.5740951417911723
30,dancourt-chevalier-a-la-mode,FRE,Comedy,1687.0,11.0,0.8501443001443001,0.6363636363636364,1.3636363636363635,6.363636363636363,2.0,10.0,11.0,4.0,6.0,1.0,0.0,1.0,35.0,47.0,5.0,24226.0,23795.0,59.0,1041.0,8.0,0.8936170212765957,0.5454545454545454,0.5123188405797103,0.031147515450513513,0.904689683031298
31,dancourt-parisienne,FRE,Comedy,1691.0,9.0,0.8888888888888888,0.8055555555555556,1.1944444444444444,6.444444444444445,2.0,8.0,9.0,3.0,6.0,0.0,0.0,1.0,29.0,25.0,1.0,7980.0,7760.0,9.0,449.0,0.0,0.56,0.6666666666666666,0.5346230158730158,0.007192090792413568,0.6645343026631947
32,daniel-cleopatra,ENG,Tragedy,1594.0,13.0,0.3692307692307692,0.2051282051282051,1.763157894736842,2.4615384615384617,4.0,5.0,13.0,1.0,9.0,1.0,0.0,3.0,16.0,12.0,5.0,14838.0,12458.0,3.0,0.0,1589.0,0.9166666666666666,0.07692307692307693,0.8181818181818182,0.008758420620084225,0.7996127381260576
33,daniel-philotas,ENG,Tragedy,1605.0,25.0,0.7661645021645022,0.3133333333333333,2.036666666666666,7.52,4.0,15.0,25.0,2.0,21.0,1.0,0.0,1.0,94.0,12.0,5.0,18836.0,17373.0,66.0,0.0,2134.0,1.0,0.24,0.977922077922078,0.0,0.35355339059327373
34,de-dottori-aristodemo,ITA,Tragedy,1657.0,12.0,0.6765873015873017,0.4545454545454545,1.6515151515151516,5.0,3.0,8.0,12.0,4.0,7.0,1.0,0.0,1.0,30.0,34.0,5.0,18682.0,18472.0,98.0,0.0,3113.0,0.9117647058823529,0.25,0.7171717171717173,0.008198426103650933,0.6292977531955606
35,decio-acripanda,ITA,Tragedy,1592.0,12.0,0.744973544973545,0.3636363636363636,1.5636363636363635,4.0,2.0,10.0,12.0,5.0,6.0,1.0,0.0,2.0,24.0,26.0,5.0,29653.0,29482.0,76.0,0.0,4462.0,1.0,0.3333333333333333,0.7153333333333332,0.003810255049880135,0.7905554101454154
36,dekker-if-it-be-not-good-the-devil-is-in-it,ENG,Comedy,1611.0,54.0,0.8582774842418814,0.4528301886792453,1.5471698113207548,24.0,2.0,53.0,54.0,2.0,44.0,7.0,0.0,1.0,648.0,10.0,0.0,24829.0,22983.0,778.0,129.0,2499.0,1.0,0.3148148148148148,0.7954068159477515,0.008539983126962579,0.5
